Team_name,Team_GP,Team_PTS,Team_FGM,Team_FGA,Team_ThreePM,Team_ThreePA,Team_FTM,Team_FTA,Team_OR,Team_DR,Team_REB,Team_AST,Team_STL,Team_BLK,Team_TO,Team_PF,Team_FG_percent,Team_ThreeP_percent,Team_FT_percent,Year,Team_BPI,Team_DEF_I,Team_OFF_I,Team_CONF,Team_QUAL_WINS,Team_SOR_RK,Team_SOS_RK,Team_QUAL_LOSS,Team_Wins,Team_Losses
1412.0,39,80.7,28.5,63.1,7.1,19.9,16.6,22.5,13.5,27.4,40.9,14.1,8.1,4.3,12.5,17.0,45.2,35.5,74.1,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1241.0,33,80.5,28.3,61.2,8.0,22.8,16.0,22.7,11.9,26.2,38.1,13.5,9.0,2.6,13.2,17.7,46.2,35.0,70.7,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1404.0,33,80.5,28.6,62.4,7.7,23.4,15.5,21.5,10.5,28.7,39.2,13.6,7.5,3.5,11.9,18.3,45.9,33.1,72.2,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1158.0,35,80.1,27.4,62.9,9.9,30.0,15.4,20.7,13.5,26.8,40.3,13.7,7.4,3.1,11.9,16.9,43.6,33.1,74.4,2023,9.1,0.7,0.9,CAA,0,44.0,299.0,2,31,4
1394.0,35,80.1,27.7,61.5,7.7,21.0,16.9,21.4,12.1,25.2,37.3,15.3,8.5,1.7,12.8,19.0,45.1,36.4,79.2,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1234.0,33,80.1,28.5,62.9,8.0,23.6,15.0,20.3,12.1,24.5,36.6,16.4,6.5,3.4,9.8,14.9,45.3,34.0,73.8,2023,10.8,0.7,10.1,Big Ten,10,45.0,17.0,9,19,14
1408.0,31,79.9,27.8,60.4,7.8,23.0,16.6,21.4,6.8,26.6,33.5,15.6,8.5,4.2,11.3,16.5,46.0,33.8,77.7,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1460.0,33,79.9,31.2,62.9,6.2,17.4,11.2,15.2,9.2,27.5,36.7,15.0,6.3,3.0,12.7,15.6,49.6,35.7,73.7,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1272.0,35,79.4,28.7,59.9,6.1,17.4,15.9,21.2,10.4,25.5,35.9,15.6,8.6,4.5,13.3,18.2,47.9,35.3,74.7,2023,11.5,5.6,5.9,American,7,19.0,54.0,5,26,9
1136.0,30,79.4,28.3,60.7,8.1,23.8,14.7,20.1,10.6,28.7,39.3,13.4,6.7,3.5,13.4,17.4,46.6,34.0,73.4,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1266.0,36,79.3,29.3,60.4,8.9,25.3,11.7,16.3,8.8,23.0,31.8,17.3,9.2,3.0,10.7,16.2,48.6,35.3,71.8,2023,13.6,4.8,8.8,Big East,8,8.0,34.0,6,29,7
1232.0,36,79.3,28.0,58.0,9.4,26.6,13.9,18.0,6.9,27.6,34.5,15.8,6.5,1.9,12.1,16.3,48.3,35.5,77.1,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1274.0,37,79.1,28.6,59.6,7.5,20.4,14.4,18.3,10.4,24.4,34.7,14.5,7.3,3.1,11.1,14.2,48.0,36.8,78.4,2023,11.5,1.8,9.7,ACC,10,11.0,41.0,5,29,8
1281.0,35,78.9,28.2,59.8,9.3,25.8,13.2,17.4,8.9,21.4,30.2,16.0,10.2,2.7,11.1,18.0,47.2,36.0,75.8,2023,9.1,0.7,0.9,SEC,9,18.0,40.0,8,25,10
1325.0,33,78.8,28.6,62.5,8.9,24.0,12.6,17.3,12.1,25.5,37.5,12.5,6.7,2.2,11.2,17.8,45.8,37.3,73.0,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1359.0,32,78.7,26.0,57.3,9.1,25.7,17.7,23.6,10.0,25.6,35.5,11.7,8.1,2.6,12.7,18.7,45.4,35.3,74.7,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1410.0,32,78.7,27.1,57.9,6.9,20.5,17.5,25.1,10.8,27.1,37.8,15.8,4.7,3.3,16.1,20.1,46.9,33.9,69.8,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1184.0,37,78.6,29.7,67.2,8.6,25.1,10.7,16.2,13.6,26.4,40.0,14.9,8.0,4.8,12.0,15.8,44.1,34.3,65.9,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1163.0,39,78.6,27.7,59.8,9.1,24.9,14.0,18.4,13.0,26.3,39.3,17.5,6.3,4.9,12.9,17.8,46.4,36.3,76.1,2023,18.9,8.6,10.2,Big East,13,3.0,16.0,6,31,8
1454.0,34,78.2,27.8,60.6,7.9,22.8,14.8,20.0,11.9,27.2,39.1,13.9,6.9,5.5,15.1,17.9,45.8,34.5,74.0,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1429.0,35,78.2,27.1,56.4,9.3,24.0,14.8,19.4,8.6,26.9,35.5,16.7,5.0,3.3,12.2,16.9,47.9,38.7,76.3,2023,9.4,2.6,6.8,Mountain West,2,40.0,91.0,4,26,9
1398.0,32,78.1,27.1,60.5,8.8,25.1,15.1,21.7,10.5,25.9,36.4,13.3,5.8,3.3,12.6,20.5,44.9,35.0,69.5,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1159.0,35,78.1,29.8,58.2,8.2,20.3,10.4,15.7,8.0,25.7,33.7,18.2,7.1,2.9,10.2,12.5,51.1,40.3,66.1,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1262.0,34,78.0,28.4,58.7,6.9,18.2,14.3,19.5,11.9,26.7,38.6,14.3,7.0,4.8,13.7,16.8,48.4,38.1,73.6,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1400.0,38,78.0,28.5,60.2,7.2,20.8,13.8,18.4,9.6,24.4,34.1,16.2,7.9,3.6,11.6,17.4,47.3,34.7,74.8,2023,16.8,8.4,8.4,Big 12,16,4.0,7.0,8,29,9
1337.0,31,78.0,29.0,62.3,8.2,22.5,11.9,16.7,9.2,26.5,35.8,15.1,5.4,3.8,14.1,17.7,46.5,36.2,71.0,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1369.0,35,77.9,26.8,61.1,7.9,24.3,16.3,23.1,9.6,25.2,34.8,13.9,7.1,3.1,13.1,21.5,43.9,32.5,70.8,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1194.0,39,77.8,27.8,59.6,9.6,26.3,12.6,17.5,10.9,28.1,38.9,14.4,6.5,2.6,11.8,15.7,46.6,36.6,71.9,2023,11.0,4.5,6.5,CUSA,3,13.0,110.0,1,35,4
1339.0,33,77.8,25.3,55.7,9.6,25.6,17.5,23.5,8.1,24.6,32.7,14.8,5.0,2.3,12.7,17.6,45.5,37.5,74.5,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1301.0,34,77.7,28.9,64.1,8.3,23.8,11.7,16.2,11.3,25.3,36.6,12.8,7.8,4.5,9.4,17.5,45.0,34.7,72.2,2023,9.6,3.7,5.9,ACC,3,41.0,67.0,6,23,11
1150.0,33,77.7,26.6,59.9,9.2,26.5,15.2,21.2,11.2,26.0,37.2,13.8,6.2,2.2,12.5,16.1,44.4,34.9,72.1,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1368.0,32,77.6,27.8,60.7,7.8,21.0,14.3,19.3,10.3,24.3,34.6,14.2,7.3,1.8,12.2,17.4,45.8,36.9,74.2,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1223.0,32,77.6,26.6,58.2,8.3,22.7,16.1,22.4,10.3,24.0,34.3,14.8,5.8,2.8,15.3,18.1,45.7,36.5,71.8,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1138.0,32,77.5,28.3,62.5,7.0,21.8,13.9,19.8,11.8,26.0,37.8,14.7,7.9,3.2,14.1,18.8,45.3,32.2,70.4,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1192.0,37,77.4,28.2,62.5,8.2,23.7,12.7,16.9,11.5,22.8,34.3,14.7,8.0,2.0,11.5,18.8,45.2,34.5,75.2,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1430.0,37,77.4,27.6,59.5,6.5,19.7,15.6,21.1,10.2,30.1,40.3,16.1,6.5,6.5,13.8,17.5,46.5,33.2,74.0,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1418.0,34,77.4,27.9,58.0,7.0,18.7,14.4,21.2,11.1,25.4,36.5,14.4,7.2,3.0,12.2,17.0,48.2,37.6,68.2,2023,9.1,0.7,0.9,Unknown,0,50.0,299.0,13,19,16
1344.0,33,77.3,27.3,59.8,6.6,19.1,16.1,21.7,12.1,26.0,38.1,14.6,6.8,4.5,11.7,15.0,45.6,34.6,74.2,2023,10.4,3.1,7.3,Big East,3,39.0,46.0,9,21,12
1222.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,20.5,10.6,9.9,American,11,6.0,77.0,3,33,4
1397.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,18.3,12.5,5.7,SEC,9,23.0,38.0,6,25,11
1417.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,17.8,10.2,7.6,Pac-12,7,7.0,47.0,5,31,6
1345.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,15.4,6.5,9.0,Big Ten,16,5.0,29.0,5,29,6
1242.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,14.7,7.7,7.0,Big 12,15,2.0,1.0,8,28,8
1166.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,14.5,6.2,8.3,Big East,6,26.0,18.0,9,24,13
1124.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,13.8,3.2,10.6,Big 12,10,15.0,6.0,11,23,11
1181.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,13.0,6.8,6.1,ACC,9,17.0,43.0,6,27,9
1361.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.6,8.0,4.6,Mountain West,8,10.0,52.0,5,32,7
1116.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.6,7.8,4.7,SEC,6,32.0,19.0,11,22,14
1246.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.5,4.6,8.0,SEC,7,30.0,31.0,7,22,12
1231.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.3,5.5,6.8,Big Ten,10,21.0,13.0,12,23,12
1388.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.2,7.6,4.6,WCC,2,31.0,89.0,4,27,8
1452.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.1,3.9,8.2,Big 12,6,36.0,5.0,13,19,15
1268.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,12.0,5.9,6.1,Big Ten,8,33.0,28.0,10,22,13
1438.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.9,6.9,5.0,ACC,6,20.0,59.0,4,25,8
1353.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.7,10.1,1.6,Unknown,0,50.0,299.0,13,19,16
1401.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.7,5.5,6.1,SEC,6,24.0,49.0,7,25,10
1120.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.6,6.3,5.4,SEC,5,34.0,20.0,10,21,13
1395.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.6,6.6,5.0,Big 12,9,25.0,10.0,11,22,13
1235.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.6,9.0,2.6,Big 12,9,29.0,3.0,10,19,14
1243.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.4,6.5,5.0,Big 12,11,16.0,22.0,7,26,10
1228.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,11.1,6.8,4.3,Big Ten,6,38.0,30.0,12,20,13
1277.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.8,5.2,5.7,Big Ten,10,22.0,4.0,11,21,13
1326.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.4,2.9,7.5,Unknown,0,50.0,299.0,13,19,16
1321.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.4,7.2,3.2,Big Ten,10,28.0,24.0,9,22,12
1314.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.2,5.0,5.2,Unknown,0,50.0,299.0,13,19,16
1336.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.2,1.8,8.4,Big Ten,11,27.0,14.0,8,23,14
1251.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.1,4.7,5.4,Unknown,0,50.0,299.0,13,19,16
1329.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,10.1,8.9,1.3,Big 12,5,42.0,9.0,13,20,16
1332.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.7,4.5,5.3,Unknown,0,50.0,299.0,13,19,16
1280.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.4,8.5,0.9,Unknown,0,50.0,299.0,13,19,16
1153.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.4,4.3,5.1,Unknown,0,50.0,299.0,13,19,16
1129.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.2,5.5,3.7,Mountain West,3,46.0,81.0,4,24,10
1358.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.2,7.2,2.0,Unknown,0,50.0,299.0,13,19,16
1416.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,6.0,3.1,Unknown,0,50.0,299.0,13,19,16
1317.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,CUSA,2,35.0,115.0,3,31,7
1458.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,Big Ten,9,37.0,11.0,11,20,15
1425.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,Pac-12,2,43.0,62.0,6,22,11
1338.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,ACC,8,47.0,69.0,5,24,12
1113.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,Pac-12,3,49.0,55.0,6,23,13
1435.0,39,77.3,25.3,67.2,5.6,30.4,10.4,25.1,6.8,21.4,30.2,11.7,4.7,1.7,16.1,12.5,43.6,32.2,65.9,2023,9.1,0.7,0.9,SEC,6,50.0,37.0,9,22,15
